"Provider.Number","Communication.with.Nurses.Achievement.Points","Communication.with.Nurses.Improvement.Points","Communication.with.Nurses.Dimension.Score","Communication.with.Doctors.Achievement.Points","Communication.with.Doctors.Improvement.Points","Communication.with.Doctors.Dimension.Score","Responsiveness.of.Hospital.Staff.Achievement.Points","Responsiveness.of.Hospital.Staff.Improvement.Points","Responsiveness.of.Hospital.Staff.Dimension.Score","Pain.Management.Achievement.Points","Pain.Management.Improvement.Points","Pain.Management.Dimension.Score","Communication.about.Medicines.Achievement.Points","Communication.about.Medicines.Improvement.Points","Communication.about.Medicines.Dimension.Score","Cleanliness.and.Quietness.of.Hospital.Environment.Achievement.Points","Cleanliness.and.Quietness.of.Hospital.Environment.Improvement.Points","Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score","Discharge.Information.Achievement.Points","Discharge.Information.Improvement.Points","Discharge.Information.Dimension.Score","Overall..Rating.of.Hospital.Achievement.Points","Overall.Rating.of.Hospital.Improvement.Points","Overall.Rating.of.Hospital.Dimension.Score","HCAHPS.Base.Score","HCAHPS.Consistency.Score","IMM.2.Performance.Rate","IMM.2.Achievement.Points","IMM.2.Improvement.Points","IMM.2.Measure.Score","Preventive.Condition.Procedure.Score","Hospital.Name","State","Start.Date","End.Date","Excess.Readmission.Ratio.READM.30.AMI.HRRP","Excess.Readmission.Ratio.READM.30.COPD.HRRP","Excess.Readmission.Ratio.READM.30.HF.HRRP","Excess.Readmission.Ratio.READM.30.HIP.KNEE.HRRP","Excess.Readmission.Ratio.READM.30.PN.HRRP","Address","City","ZIP.Code","County.Name","MORT.30.AMI.Performance.Rate","MORT.30.AMI.Achievement.Points","MORT.30.AMI.Improvement.Points","MORT.30.AMI.Measure.Score","MORT.30.HF.Performance.Rate","MORT.30.HF.Achievement.Points","MORT.30.HF.Improvement.Points","MORT.30.HF.Measure.Score","MORT.30.PN.Performance.Rate","MORT.30.PN.Achievement.Points","MORT.30.PN.Improvement.Points","MORT.30.PN.Measure.Score","PSI.90.Performance.Rate","PSI.90.Achievement.Points","PSI.90.Improvement.Points","PSI.90.Measure.Score","HAI.1.Performance.Rate","HAI.1.Achievement.Points","HAI.1.Improvement.Points","HAI.1.Measure.Score","HAI.2.Performance.Rate","HAI.2.Achievement.Points","HAI.2.Improvement.Points","HAI.2.Measure.Score","Combined.SSI.Measure.Score","HAI.3.Performance.Rate","HAI.3.Achievement.Points","HAI.3.Improvement.Points","HAI.3.Measure.Score","HAI.4.Performance.Rate","HAI.4.Achievement.Points","HAI.4.Improvement.Points","HAI.4.Measure.Score","Location"
10139,0,0,0,0.3,0,0.3,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,6,18,0.97606,0.8,1,0.9,9,"BROOKWOOD MEDICAL CENTER","AL","07/01/2011","06/30/2014",2730,2063,1011,2106,2204,"2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","35209","JEFFERSON",0.871124,1,1,1,0.890758,0.5,0.444444444444444,0.5,0.873647,0,0.111111111111111,0.1,0.542858,0.4,0.333333333333333,0.4,0.914,0,0,0,1.45,0,0,0,0.4,0.98,0,0,0,0.131,0.8,0.444444444444444,0.8,"2010 BROOKWOOD MEDICAL CENTER DRIVE
Birmingham, AL 35209
(33.463103, -86.776451)"
10149,0.4,0.222222222222222,0.4,0.6,0.444444444444444,0.6,0.1,0,0.1,0.5,0,0.5,0.4,0.444444444444444,0.4,0.1,0,0.1,0.8,0.777777777777778,0.8,0.6,0.444444444444444,0.6,35,20,0.94395,0.5,0.444444444444444,0.5,5,"BAPTIST MEDICAL CENTER EAST","AL","07/01/2011","06/30/2014",1710,2112,2144,3692,1688,"400 TAYLOR ROAD","Montgomery","36117","MONTGOMERY",0.866651,1,1,1,0.896002,0.7,0.222222222222222,0.7,0.899139,0.7,0.666666666666667,0.7,0.315571,1,1,1,0.214,0.5,0.666666666666667,0.6,0.703,0.2,0.222222222222222,0.2,0.6,0,1,0,1,0.505,0.3,0,0.3,"400 TAYLOR ROAD
Montgomery, AL 36117
(32.376821, -86.172095)"
20001,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.222222222222222,0.2,0.5,0.111111111111111,0.5,0.3,0.111111111111111,0.3,11,17,0.90891,0.1,0.666666666666667,0.6,6,"PROVIDENCE ALASKA MEDICAL CENTER","AK","07/01/2011","06/30/2014",910,1510,592,2042,511,"BOX 196604","Anchorage","99508","ANCHORAGE",0.859144,0.8,0.666666666666667,0.8,0.876038,0,0.333333333333333,0.3,0.893725,0.5,0,0.5,0.632768,0,0,0,0.681,0,0.777777777777778,0.7,0.842,0,0,0,0,0.749,0,0,0,0.651,0.2,0,0.2,"BOX 196604
Anchorage, AK 99508
"
30002,0.1,0,0.1,0,0,0,0.2,0,0.2,0.1,0,0.1,0.2,0,0.2,0,0,0,0.7,0.666666666666667,0.7,0.2,0,0.2,15,12,0.94084,0.4,0.333333333333333,0.4,4,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS","AZ","07/01/2011","06/30/2014",1938,955,1078,853,2298,"1111 EAST MCDOWELL ROAD","Phoenix","850062666","MARICOPA",0.855175,0.5,0,0.5,0.88786,0.4,0,0.4,0.889984,0.4,0,0.4,0.349313,1,1,1,0.398,0.2,0.444444444444444,0.4,1.36,0,0,0,0.1,1.119,0,0,0,1.407,0,0.222222222222222,0.2,"1111 EAST MCDOWELL ROAD
Phoenix, AZ 850062666
(33.465717, -112.059335)"
30006,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.222222222222222,0.2,0.5,0.333333333333333,0.5,0.1,0.111111111111111,0.1,9,15,0.89162,0,0.444444444444444,0.4,4,"TUCSON MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1042,1705,1177,110,937,"5301 EAST GRANT ROAD","Tucson","85712","PIMA",0.863527,1,1,1,0.863409,0,0.111111111111111,0.1,0.879008,0,0,0,0.571339,0.3,0.777777777777778,0.7,0.452,0.1,0.666666666666667,0.6,0.873,0,0.555555555555556,0.5,0,1.097,0,0,0,1.561,0,0,0,"5301 EAST GRANT ROAD
Tucson, AZ 85712
(32.250766, -110.881304)"
30011,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.2,0.2,0.111111111111111,0.2,0,0.222222222222222,0.2,0.3,0,0.3,0,0,0,9,15,0.8131,0,0,0,0,"ST JOSEPH'S HOSPITAL","AZ","07/01/2011","06/30/2014",2160,1131,1031,1586,2663,"350 NORTH WILMOT ROAD","Tucson","85711","PIMA",0.857365,0.6,0.777777777777778,0.7,0.888358,0.4,0,0.4,0.864958,0,0,0,0.58501,0.2,0.555555555555556,0.5,0.079,0.8,0,0.8,2.223,0,0,0,0.1,2.169,0,0,0,0.595,0.2,0.666666666666667,0.6,"350 NORTH WILMOT ROAD
Tucson, AZ 85711
(32.227194, -110.857841)"
30024,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.222222222222222,0.2,0.1,0,0.1,0.3,0.444444444444444,0.4,0.4,0,0.4,11,16,0.95318,0.6,0.777777777777778,0.7,7,"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1676,1644,1107,3692,1906,"350 WEST THOMAS ROAD","Phoenix","850134496","MARICOPA",0.86856,1,1,1,0.898252,0.9,0.888888888888889,0.9,0.892753,0.5,0.222222222222222,0.5,0.581067,0.2,0.555555555555556,0.5,0.322,0.3,0.555555555555556,0.5,1.124,0,0.333333333333333,0.3,0.6,0.203,0.7,0,0.7,0.757,0,0.555555555555556,0.5,"350 WEST THOMAS ROAD
Phoenix, AZ 850134496
(33.480294, -112.079235)"
30036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.222222222222222,0.6,0,0,0,6,12,0.9702,0.7,0.111111111111111,0.7,7,"CHANDLER REGIONAL MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1751,720,971,655,719,"1955 WEST FRYE ROAD","Chandler","85224","MARICOPA",0.85924,0.8,0.888888888888889,0.8,0.897487,0.8,0.888888888888889,0.8,0.895602,0.6,0.333333333333333,0.6,0.407326,1,1,1,0,1,1,1,0.362,0.5,0,0.5,0.1,0.689,0,0,0,0.654,0.2,0.333333333333333,0.3,"1955 WEST FRYE ROAD
Chandler, AZ 85224
(33.29861, -111.87603)"
30064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.75145,0,0,0,0,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","AZ","07/01/2011","06/30/2014",2753,1472,2013,898,1360,"1501 NORTH CAMPBELL AVENUE","Tucson","857245146","PIMA",0.870501,1,1,1,0.89729,0.8,0.888888888888889,0.8,0.89662,0.6,0.222222222222222,0.6,0.618774,0,0,0,0.98,0,0,0,1.889,0,0,0,0,2.553,0,0,0,1.692,0,0,0,"1501 NORTH CAMPBELL AVENUE
Tucson, AZ 857245146
(32.240664, -110.944076)"
30065,0,0.111111111111111,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.7,0.444444444444444,0.7,0.2,0,0.2,11,15,0.96798,0.7,0.444444444444444,0.7,7,"BANNER DESERT MEDICAL CENTER","AZ","07/01/2011","06/30/2014",2121,2660,1834,1785,2185,"1400 SOUTH  DOBSON ROAD","Mesa","85202","MARICOPA",0.868124,1,1,1,0.888295,0.4,0.666666666666667,0.6,0.901115,0.8,0.888888888888889,0.8,0.441664,1,1,1,0.362,0.2,0.444444444444444,0.4,0.84,0,0.333333333333333,0.3,0.1,1.088,0,0,0,0.469,0.4,0.666666666666667,0.6,"1400 SOUTH DOBSON ROAD
Mesa, AZ 85202
(33.389795, -111.874638)"
30085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,3,9,0.96296,0.7,0.666666666666667,0.7,7,"NORTHWEST MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1237,1877,610,790,1949,"6200 NORTH LA CHOLLA BOULEVARD","Tucson","85741","PIMA",0.86223,0.9,1,0.9,0.878698,0,0.555555555555556,0.5,0.894809,0.6,0.666666666666667,0.6,0.433059,1,1,1,0.295,0.4,0.222222222222222,0.4,1.609,0,0,0,0.3,1.593,0,0.222222222222222,0.2,0.589,0.2,0.444444444444444,0.4,"6200 NORTH LA CHOLLA BOULEVARD
Tucson, AZ 85741
(32.319572, -111.012054)"
30089,0.1,0,0.1,0,0.222222222222222,0.2,0,0,0,0,0,0,0.1,0.111111111111111,0.1,0,0,0,0.7,0.666666666666667,0.7,0.4,0.222222222222222,0.4,15,15,0.93542,0.4,0.222222222222222,0.4,4,"BANNER THUNDERBIRD MEDICAL CENTER","AZ","07/01/2011","06/30/2014",2043,2155,1839,3309,1700,"5555 WEST THUNDERBIRD ROAD","Glendale","853064696","MARICOPA",0.86424,1,1,1,0.892541,0.6,0,0.6,0.898866,0.7,0.555555555555556,0.7,0.427742,1,1,1,0.424,0.1,0,0.1,1.177,0,0,0,0,1.351,0,0,0,1.331,0,0,0,"5555 WEST THUNDERBIRD ROAD
Glendale, AZ 853064696
(33.61069, -112.181344)"
30093,0,0,0,0,0,0,0.2,0.111111111111111,0.2,0,0,0,0,0,0,0,0,0,0.9,1,0.9,0.2,0.111111111111111,0.2,13,15,0.97996,0.9,0.555555555555556,0.9,9,"BANNER DEL E WEBB MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1020,1856,1113,3127,1583,"14502 WEST MEEKER BOULEVARD","Mesa","85202","MARICOPA",0.870572,1,1,1,0.882252,0.1,0,0.1,0.891637,0.4,0.555555555555556,0.5,0.284128,1,1,1,0,1,0,1,0,1,1,1,0.1,0.466,0.3,0.333333333333333,0.3,0.878,0,0,0,"14502 WEST MEEKER BOULEVARD
Mesa, AZ 85202
"
30103,0.8,0.666666666666667,0.8,0.6,0.222222222222222,0.6,1,1,1,0.8,0.666666666666667,0.8,0.7,0.111111111111111,0.7,0.5,0.222222222222222,0.5,0.9,0.888888888888889,0.9,1,1,1,63,20,0.94993,0.5,0,0.5,5,"MAYO CLINIC HOSPITAL","AZ","07/01/2011","06/30/2014",193,1170,388,1294,2120,"5777 EAST MAYO BOULEVARD","Phoenix","85054","MARICOPA",0.885752,1,1,1,0.895514,0.7,0.666666666666667,0.7,0.912154,1,1,1,0.391385,1,1,1,0.09,0.8,0,0.8,0.46,0.4,0,0.4,0.4,0.747,0,0.444444444444444,0.4,0.924,0,0,0,"5777 EAST MAYO BOULEVARD
Phoenix, AZ 85054
(33.660643, -111.951056)"
30115,0.3,0,0.3,0.2,0.111111111111111,0.2,0.1,0,0.1,0.5,0.222222222222222,0.5,0.4,0,0.4,0.2,0,0.2,0.7,0.555555555555556,0.7,0.5,0,0.5,29,20,0.97755,0.8,0.888888888888889,0.8,8,"BANNER ESTRELLA MEDICAL CENTER","AZ","07/01/2011","06/30/2014",1828,2244,1467,3298,1593,"9201 WEST THOMAS ROAD","Phoenix","85037","MARICOPA",0.853693,0.4,0,0.4,0.890211,0.5,0.666666666666667,0.6,0.886176,0.2,0,0.2,0.406767,1,1,1,0.395,0.2,0,0.2,0.573,0.3,0,0.3,0.6,0.353,0.5,0.777777777777778,0.7,0.38,0.5,0,0.5,"9201 WEST THOMAS ROAD
Phoenix, AZ 85037
(33.479565, -112.257657)"
40004,0.2,0.111111111111111,0.2,0,0,0,0.3,0.111111111111111,0.3,0.2,0.111111111111111,0.2,0.3,0.111111111111111,0.3,0.4,0.222222222222222,0.4,0.3,0.222222222222222,0.3,0.3,0.111111111111111,0.3,20,19,0.98318,0.9,1,0.9,9,"WASHINGTON REGIONAL MEDICAL CENTER","AR","07/01/2011","06/30/2014",556,1436,1466,1117,1237,"3215 N NORTH HILLS BOULEVARD","Fayetteville","72703","WASHINGTON",0.877614,1,1,1,0.865776,0,0,0,0.858095,0,0,0,0.489756,0.7,0.666666666666667,0.7,0.766,0,0.111111111111111,0.1,1.025,0,0.666666666666667,0.6,0.2,1.306,0,0,0,0,1,1,1,"3215 N NORTH HILLS BOULEVARD
Fayetteville, AR 72703
(36.108324, -94.155932)"
40014,0.5,0.444444444444444,0.5,0.5,0.333333333333333,0.5,0.2,0.222222222222222,0.2,0.5,0.444444444444444,0.5,0.6,0.555555555555556,0.6,0.6,0.555555555555556,0.6,0.1,0.444444444444444,0.4,0.5,0.333333333333333,0.5,38,20,0.99438,1,1,1,10,"WHITE COUNTY MEDICAL CENTER","AR","07/01/2011","06/30/2014",937,1885,2092,3394,2562,"3214 EAST RACE AVENUE","Searcy","72143","WHITE",0.842039,0,0.333333333333333,0.3,0.858246,0,0,0,0.867577,0,0,0,0.408461,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,"3214 EAST RACE AVENUE
Searcy, AR 72143
(35.250418, -91.694198)"
40016,0.2,0.222222222222222,0.2,0,0,0,0,0,0,0,0,0,0.2,0.111111111111111,0.2,0.3,0.222222222222222,0.3,0,0.444444444444444,0.4,0.5,0.333333333333333,0.5,16,17,0.8215,0,0.555555555555556,0.5,5,"UAMS MEDICAL CENTER","AR","07/01/2011","06/30/2014",3436,1563,2354,3692,2524,"4301 WEST MARKHAM STREET MAIL SLOT 612","Little Rock","72205","PULASKI",0.868855,1,1,1,0.884493,0.2,0.333333333333333,0.3,0.890545,0.4,0.333333333333333,0.4,0.749095,0,0,0,0.312,0.3,0.555555555555556,0.5,1.404,0,0,0,0.3,1.027,0,0.111111111111111,0.1,0.237,0.7,0.666666666666667,0.7,"4301 WEST MARKHAM STREET MAIL SLOT 612
Little Rock, AR 72205
(34.751583, -92.320998)"
40029,0.3,0,0.3,0.3,0.111111111111111,0.3,0.2,0,0.2,0.3,0,0.3,0.2,0,0.2,0.3,0,0.3,0,0,0,0.3,0.222222222222222,0.3,19,18,0.95983,0.6,1,0.9,9,"CONWAY REGIONAL MEDICAL CENTER","AR","07/01/2011","06/30/2014",721,2866,1441,3142,2014,"2302 COLLEGE AVENUE","Conway","72034-6297","FAULKNER",0.867505,1,1,1,0.856877,0,0,0,0.884392,0.1,0.333333333333333,0.3,0.369769,1,1,1,0,1,1,1,0.311,0.6,0.888888888888889,0.8,0.7,0,1,1,1,1.515,0,0,0,"2302 COLLEGE AVENUE
Conway, AR 72034-6297
(35.084839, -92.456768)"
40036,0.1,0,0.1,0.4,0.222222222222222,0.4,0,0,0,0,0,0,0.2,0.111111111111111,0.2,0.3,0,0.3,0,0.333333333333333,0.3,0.4,0,0.4,17,19,0.98861,0.9,1,0.9,9,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","AR","07/01/2011","06/30/2014",2451,2458,3101,1864,2918,"3333 SPRINGHILL DRIVE","North Little Rock","72117","PULASKI",0.845827,0,0,0,0.873366,0,0,0,0.876321,0,0,0,0.378327,1,1,1,1.283,0,0,0,0.991,0,0.333333333333333,0.3,0.2,1.06,0,0,0,0,1,0,1,"3333 SPRINGHILL DRIVE
North Little Rock, AR 72117
(34.785114, -92.219506)"
40071,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0.1,0.222222222222222,0.2,0,0,0,0.1,0,0.1,0,0,0,5,15,0.99888,1,1,1,10,"JEFFERSON REGIONAL MEDICAL CENTER","AR","07/01/2011","06/30/2014",1935,2477,1857,2342,2176,"1600 WEST 40TH AVENUE","Pine Bluff","71603","JEFFERSON",0.857505,0.7,0.555555555555556,0.7,0.876319,0,0,0,0.864974,0,0,0,0.302384,1,1,1,0.17,0.6,0.222222222222222,0.6,0.228,0.7,0.777777777777778,0.7,1,0,1,1,1,0,1,0,1,"1600 WEST 40TH AVENUE
Pine Bluff, AR 71603
(34.189117, -92.021094)"
