"competitor number of subscribers","number of subscribers","competitor potential subscribers","potential subscribers","competitor innovative features","innovative features","competitor subscriber ecosystem strength","subscriber ecosystem strength","competitor necessity to subscribers","necessity to subscribers","competitor platform scalability","platform scalability","competitor capital investment","capital investment","competitor feature release cycle time","feature release cycle time","competitor platform service provider capability","platform service provider capability","fitness","competitor advantage in subscribers","competitor advantage in potential subscribers","competitor advantage in innovative features","competitor advantage in subscriber ecosystem strength","competitor advantage in necessity to subscribers","competitor advantage in platform scalability","competitor advantage in capital investment","competitor advantage in feature release cycle time","competitor advantage in platform service provider capability"
"3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","4-High","5-Very High","3-Medium","4-High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium"
"4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","4-High"
"2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium"
"1-Very Low","4-High","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","5-Very High","4-High","4-High","2-Low","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","5-Very High","3-Medium","4-High","3-Medium","5-Very High","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium"
"2-Low","1-Very Low","2-Low","4-High","1-Very Low","3-Medium","2-Low","1-Very Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","1-Very Low","4-High","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low","5-Very High","3-Medium","4-High"
"4-High","1-Very Low","2-Low","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High"
"3-Medium","3-Medium","4-High","5-Very High","4-High","5-Very High","1-Very Low","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","5-Very High","2-Low","2-Low","2-Low"
"3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","4-High","5-Very High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","4-High"
"4-High","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","4-High","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"5-Very High","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","1-Very Low","3-Medium","2-Low","4-High","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low"
"3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"2-Low","4-High","2-Low","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","2-Low","4-High","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium"
"3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low"
"4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","2-Low"
"2-Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","5-Very High","4-High","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low"
"4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","5-Very High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium"
"5-Very High","2-Low","4-High","4-High","3-Medium","3-Medium","5-Very High","1-Very Low","4-High","1-Very Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","5-Very High","3-Medium","3-Medium","5-Very High","4-High","2-Low","4-High","3-Medium","2-Low"
"3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","2-Low","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","1-Very Low","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","2-Low","4-High","1-Very Low","4-High"
"3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","5-Very High","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low"
"4-High","3-Medium","2-Low","2-Low","5-Very High","4-High","2-Low","2-Low","4-High","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","2-Low","4-High","4-High"
"3-Medium","3-Medium","3-Medium","4-High","5-Very High","4-High","2-Low","3-Medium","2-Low","5-Very High","2-Low","4-High","2-Low","5-Very High","3-Medium","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","2-Low","2-Low"
"3-Medium","2-Low","2-Low","4-High","2-Low","4-High","2-Low","2-Low","4-High","1-Very Low","5-Very High","2-Low","5-Very High","4-High","5-Very High","2-Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","4-High","5-Very High","3-Medium","5-Very High","2-Low"
"3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium"
"2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","4-High","2-Low","4-High","2-Low","4-High","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","5-Very High","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","5-Very High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","5-Very High","3-Medium","3-Medium","2-Low","3-Medium"
"4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","2-Low","2-Low","5-Very High","1-Very Low","3-Medium","2-Low","4-High","2-Low","2-Low","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","4-High","3-Medium","2-Low","3-Medium"
"1-Very Low","4-High","3-Medium","4-High","1-Very Low","2-Low","2-Low","1-Very Low","4-High","2-Low","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","1-Very Low","2-Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium"
"3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium"
"3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","5-Very High","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","5-Very High","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","5-Very High","5-Very High","4-High","1-Very Low","2-Low","2-Low","1-Very Low","4-High","2-Low","5-Very High","4-High","2-Low","4-High","1-Very Low","4-High","1-Very Low","2-Low","4-High","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low"
"3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","4-High","3-Medium","2-Low","1-Very Low","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low"
"5-Very High","2-Low","1-Very Low","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High"
"4-High","2-Low","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","4-High","5-Very High","2-Low","4-High","4-High","3-Medium","2-Low","3-Medium","2-Low","4-High","2-Low","5-Very High","2-Low","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low","2-Low"
"1-Very Low","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","4-High","4-High","1-Very Low","2-Low","4-High","1-Very Low","3-Medium","4-High","2-Low","2-Low","4-High","3-Medium","2-Low","3-Medium"
"4-High","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium"
"2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium"
"4-High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"3-Medium","4-High","4-High","2-Low","4-High","2-Low","3-Medium","1-Very Low","5-Very High","4-High","4-High","2-Low","4-High","2-Low","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","4-High","4-High","4-High","2-Low","3-Medium"
"4-High","2-Low","4-High","4-High","2-Low","4-High","1-Very Low","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"4-High","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"2-Low","2-Low","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","4-High","2-Low","3-Medium","5-Very High","4-High","2-Low","3-Medium","4-High","2-Low","1-Very Low","2-Low"
"3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","4-High","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","2-Low","5-Very High","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","1-Very Low","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","1-Very Low","5-Very High"
"3-Medium","1-Very Low","3-Medium","4-High","2-Low","1-Very Low","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","2-Low"
"2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","1-Very Low","3-Medium","2-Low","2-Low","4-High","4-High","4-High","5-Very High","3-Medium","4-High","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High"
"3-Medium","1-Very Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","5-Very High","3-Medium","3-Medium","4-High","3-Medium"
"3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","4-High","4-High","4-High","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","4-High"
"4-High","1-Very Low","2-Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","4-High","2-Low","2-Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"4-High","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","2-Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","5-Very High","2-Low","1-Very Low","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","4-High","4-High","2-Low"
"2-Low","4-High","3-Medium","5-Very High","2-Low","5-Very High","2-Low","2-Low","2-Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","1-Very Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium"
"2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","5-Very High","3-Medium","4-High","4-High","4-High","5-Very High","2-Low","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","2-Low","1-Very Low","4-High"
"1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","5-Very High","3-Medium","4-High","4-High","1-Very Low","1-Very Low","5-Very High","2-Low","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium"
"3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","2-Low","2-Low","2-Low","2-Low","1-Very Low","2-Low"
"2-Low","2-Low","3-Medium","4-High","2-Low","5-Very High","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"2-Low","3-Medium","5-Very High","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","5-Very High","4-High","3-Medium","4-High","5-Very High","3-Medium","3-Medium","2-Low","2-Low","5-Very High","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","3-Medium"
"3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","4-High","4-High","4-High","3-Medium","4-High","3-Medium"
"2-Low","4-High","4-High","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","5-Very High","3-Medium","2-Low","2-Low","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium"
"2-Low","2-Low","4-High","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","4-High","4-High","2-Low","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium"
"4-High","2-Low","2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low"
"2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low"
"2-Low","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","4-High"
"2-Low","4-High","4-High","4-High","1-Very Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","4-High","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","4-High"
"2-Low","1-Very Low","4-High","5-Very High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low"
"3-Medium","4-High","4-High","4-High","1-Very Low","2-Low","2-Low","1-Very Low","4-High","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium"
"2-Low","3-Medium","2-Low","3-Medium","1-Very Low","5-Very High","2-Low","2-Low","4-High","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","2-Low","4-High","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low"
"1-Very Low","3-Medium","2-Low","5-Very High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","5-Very High","4-High","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low"
"1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","4-High","2-Low","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium"
