"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"35","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High"
"36","3-Medium","3-Medium","2-Low","4-High","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High"
"37","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","5-Very High","4-High","2-Low","3-Medium","2-Low","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"38","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","4-High","5-Very High","4-High","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","3-Medium"
"39","2-Low","1-Very Low","4-High","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","5-Very High","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","4-High","5-Very High","2-Low","3-Medium","3-Medium"
"40","4-High","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","5-Very High","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","3-Medium","1-Very Low","4-High","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low"
"41","4-High","3-Medium","4-High","4-High","2-Low","1-Very Low","4-High","1-Very Low","2-Low","4-High","4-High","3-Medium","5-Very High","4-High","5-Very High","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","5-Very High","2-Low","4-High","3-Medium","5-Very High","4-High"
"42","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","4-High","3-Medium","4-High","3-Medium","5-Very High","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","5-Very High","4-High"
"43","3-Medium","4-High","4-High","1-Very Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","4-High","2-Low","5-Very High","5-Very High","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium"
"44","3-Medium","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"45","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium"
"46","4-High","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"47","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","4-High","4-High","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","2-Low","4-High","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium"
"48","2-Low","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High"
"49","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","5-Very High","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low"
"50","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"51","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","5-Very High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"52","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"53","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","5-Very High","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High"
"54","3-Medium","3-Medium","3-Medium","4-High","5-Very High","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"55","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low"
"56","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High"
"57","2-Low","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","4-High","2-Low","1-Very Low","5-Very High","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","4-High"
"58","1-Very Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","4-High","2-Low"
"59","4-High","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","2-Low","2-Low","3-Medium","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low","5-Very High","3-Medium","2-Low","3-Medium"
"60","4-High","4-High","4-High","4-High","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","5-Very High","3-Medium","4-High","3-Medium"
"61","4-High","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"62","4-High","2-Low","3-Medium","2-Low","2-Low","2-Low","2-Low","1-Very Low","4-High","4-High","5-Very High","4-High","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low"
"63","3-Medium","4-High","2-Low","2-Low","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","5-Very High","5-Very High","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium"
"64","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium"
"65","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","1-Very Low","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","4-High","2-Low"
"66","4-High","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","4-High","1-Very Low","4-High","5-Very High","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","3-Medium","5-Very High","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"67","3-Medium","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"68","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"69","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","4-High","4-High","4-High","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"70","4-High","2-Low","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","1-Very Low","5-Very High","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","5-Very High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"71","4-High","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","1-Very Low","4-High","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"72","2-Low","2-Low","4-High","5-Very High","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High","5-Very High","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High"
"73","2-Low","4-High","2-Low","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","5-Very High","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","4-High","4-High","4-High","2-Low","4-High","2-Low","4-High"
"74","3-Medium","3-Medium","3-Medium","2-Low","4-High","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High"
"75","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low"
"76","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"77","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","5-Very High","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","4-High"
"78","2-Low","5-Very High","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","4-High","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium"
"79","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","5-Very High","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","4-High","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"80","4-High","2-Low","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","5-Very High","3-Medium"
"81","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"82","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low"
"83","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","5-Very High","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","5-Very High","3-Medium","3-Medium","3-Medium","2-Low"
"84","3-Medium","2-Low","4-High","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","5-Very High","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium"
"85","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"86","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
